#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_06271 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=171,-,-,Y (0.521),Non-effector
FOXG_06726 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=128,Y (0.951),Y (0.764),-,Cytoplasmic/apoplastic effector
FOXG_09691 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=423,-,-,Y (0.748),Non-effector
FOXG_08152 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=193,Y (0.586),Y (0.639),-,Apoplastic/cytoplasmic effector
FOXG_10382 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=579,Y (0.573),-,-,Cytoplasmic effector
FOXG_13587 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=80,Y (0.564),-,-,Cytoplasmic effector
FOXG_01201 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=966,-,-,Y (0.961),Non-effector
FOXG_15387 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=367,-,-,Y (0.828),Non-effector
FOXG_13760 | Fusarium oxysporum f. sp. lycopersici 4287 | protein OS-9 | protein | length=517,Y (0.668),-,-,Cytoplasmic effector
FOXG_17509 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=342,-,-,Y (0.905),Non-effector
FOXG_11065 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=978,-,-,Y (0.84),Non-effector
FOXG_13638 | Fusarium oxysporum f. sp. lycopersici 4287 | carbonic anhydrase | protein | length=300,-,-,Y (0.75),Non-effector
FOXG_13026 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=791,-,-,Y (0.815),Non-effector
FOXG_09552 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1981,-,-,Y (0.822),Non-effector
FOXG_14736 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=341,-,-,Y (0.676),Non-effector
FOXG_04048 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=457,-,-,Y (0.892),Non-effector
FOXG_12263 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=397,-,-,Y (0.617),Non-effector
FOXG_02409 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=495,-,Y (0.581),-,Apoplastic effector
FOXG_10638 | Fusarium oxysporum f. sp. lycopersici 4287 | endoglucanase type K | protein | length=412,-,-,Y (0.518),Non-effector
FOXG_14381 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=667,-,-,Y (0.934),Non-effector
FOXG_04508 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=339,-,-,Y (0.761),Non-effector
FOXG_02481 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=457,-,-,Y (0.78),Non-effector
FOXG_08445 | Fusarium oxysporum f. sp. lycopersici 4287 | bud emergence protein 1 | protein | length=596,-,-,Y (0.632),Non-effector
FOXG_12933 | Fusarium oxysporum f. sp. lycopersici 4287 | dipeptidyl-peptidase 4 | protein | length=778,-,-,Y (0.733),Non-effector
FOXG_12925 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=650,-,-,Y (0.719),Non-effector
FOXG_04483 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=438,Y (0.527),-,-,Cytoplasmic effector
FOXG_06771 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,-,Y (0.95),Non-effector
FOXG_10866 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=740,-,-,Y (0.943),Non-effector
FOXG_12958 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=230,-,-,Y (0.619),Non-effector
FOXG_08771 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=475,-,-,Y (0.694),Non-effector
FOXG_07333 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,-,Y (0.95),Non-effector
FOXG_04930 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=254,-,-,Y (0.509),Non-effector
"FOXG_04146 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,4-beta-xylanase | protein | length=286",-,Y (0.76),-,Apoplastic effector
FOXG_04017 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=638,-,-,Y (0.96),Non-effector
FOXG_05692 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=560,-,-,Y (0.764),Non-effector
FOXG_13243 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=480,-,-,Y (0.854),Non-effector
FOXG_02675 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=394,-,Y (0.553),-,Apoplastic effector
FOXG_07628 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=572,-,-,Y (0.927),Non-effector
FOXG_02545 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=583,-,-,Y (0.925),Non-effector
FOXG_13091 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=337,-,-,Y (0.887),Non-effector
FOXG_16927 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=448,-,-,Y (0.792),Non-effector
FOXG_17513 | Fusarium oxysporum f. sp. lycopersici 4287 | inulinase | protein | length=522,-,-,Y (0.903),Non-effector
FOXG_10463 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=247,-,Y (0.814),-,Apoplastic effector
FOXG_10922 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=282,-,-,Y (0.63),Non-effector
FOXG_05224 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=347,-,-,Y (0.788),Non-effector
FOXG_16222 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=354,-,-,Y (0.633),Non-effector
FOXG_11945 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=349,-,-,Y (0.761),Non-effector
FOXG_17590 | Fusarium oxysporum f. sp. lycopersici 4287 | protein arginine N-methyltransferase 1 | protein | length=369,-,Y (0.518),-,Apoplastic effector
FOXG_17034 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=308,-,Y (0.526),-,Apoplastic effector
FOXG_06102 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1367,-,-,Y (0.72),Non-effector
FOXG_02757 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=787,-,-,Y (0.886),Non-effector
FOXG_11416 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=184,Y (0.893),Y (0.54),-,Cytoplasmic/apoplastic effector
FOXG_11675 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=512,-,-,Y (0.895),Non-effector
FOXG_16645 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=483,-,-,Y (0.708),Non-effector
FOXG_16585 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=246,-,-,Y (0.541),Non-effector
FOXG_05673 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=304,-,-,Y (0.763),Non-effector
FOXG_05912 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=247,-,-,Y (0.552),Non-effector
FOXG_12165 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=924,-,-,Y (0.867),Non-effector
FOXG_11022 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=200,Y (0.763),-,-,Cytoplasmic effector
FOXG_13247 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=555,-,-,Y (0.754),Non-effector
FOXG_14544 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=682,-,-,Y (0.932),Non-effector
FOXG_17741 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=812,-,-,Y (0.896),Non-effector
FOXG_16430 | Fusarium oxysporum f. sp. lycopersici 4287 | chitinase | protein | length=432,-,-,Y (0.731),Non-effector
FOXG_20344 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=85,Y (0.838),-,-,Cytoplasmic effector
FOXG_01527 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=655,-,-,Y (0.644),Non-effector
FOXG_10103 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=306,-,-,Y (0.622),Non-effector
FOXG_04078 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=536,-,-,Y (0.945),Non-effector
FOXG_00849 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=519,-,-,Y (0.797),Non-effector
FOXG_10387 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=443,-,-,Y (0.804),Non-effector
FOXG_11371 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=543,-,-,Y (0.82),Non-effector
FOXG_01925 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=174,Y (0.928),-,-,Cytoplasmic effector
FOXG_13128 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=669,-,-,Y (0.727),Non-effector
FOXG_14066 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=245,-,-,Y (0.605),Non-effector
FOXG_09591 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=873,-,-,Y (0.932),Non-effector
FOXG_00940 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=475,-,-,Y (0.893),Non-effector
FOXG_17006 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=560,-,Y (0.815),-,Apoplastic effector
FOXG_17035 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=305,Y (0.625),-,-,Cytoplasmic effector
FOXG_09500 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=538,-,-,Y (0.924),Non-effector
FOXG_02678 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=213,-,Y (0.637),-,Apoplastic effector
FOXG_17627 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=404,-,-,Y (0.668),Non-effector
FOXG_10495 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=510,-,-,Y (0.917),Non-effector
FOXG_08896 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=240,-,Y (0.716),-,Apoplastic effector
FOXG_16552 | Fusarium oxysporum f. sp. lycopersici 4287 | acetylornithine deacetylase | protein | length=378,-,-,Y (0.731),Non-effector
FOXG_09443 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=196,-,-,Y (0.701),Non-effector
FOXG_06288 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=180,Y (0.822),-,-,Cytoplasmic effector
FOXG_07527 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=249,-,Y (0.737),-,Apoplastic effector
FOXG_10558 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=436,-,-,Y (0.581),Non-effector
FOXG_16099 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=244,-,Y (0.522),-,Apoplastic effector
FOXG_12492 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=434,-,-,Y (0.878),Non-effector
FOXG_11399 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=283,-,-,Y (0.713),Non-effector
FOXG_10183 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=386,-,-,Y (0.821),Non-effector
FOXG_17164 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=494,-,-,Y (0.839),Non-effector
FOXG_15793 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=290,-,Y (0.522),-,Apoplastic effector
FOXG_11876 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=544,-,-,Y (0.799),Non-effector
FOXG_10300 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=202,Y (0.569),-,-,Cytoplasmic effector
FOXG_04601 | Fusarium oxysporum f. sp. lycopersici 4287 | carboxypeptidase D | protein | length=473,-,-,Y (0.562),Non-effector
FOXG_12169 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=257,Y (0.651),-,-,Cytoplasmic effector
FOXG_03014 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=714,-,-,Y (0.634),Non-effector
FOXG_09688 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=242,-,Y (0.633),-,Apoplastic effector
FOXG_02423 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=515,-,-,Y (0.981),Non-effector
FOXG_14695 | Fusarium oxysporum f. sp. lycopersici 4287 | polygalacturonase | protein | length=371,-,Y (0.632),-,Apoplastic effector
FOXG_00135 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=610,-,-,Y (0.629),Non-effector
FOXG_13854 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=367,-,-,Y (0.926),Non-effector
FOXG_13892 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=454,-,-,Y (0.81),Non-effector
FOXG_07729 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=281,-,Y (0.527),-,Apoplastic effector
FOXG_11745 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=183,Y (0.769),-,-,Cytoplasmic effector
FOXG_14801 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=767,-,-,Y (0.736),Non-effector
FOXG_13348 | Fusarium oxysporum f. sp. lycopersici 4287 | carboxypeptidase A4 | protein | length=413,-,-,Y (0.728),Non-effector
FOXG_10120 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=107,-,Y (0.801),-,Apoplastic effector
FOXG_07270 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.927),Non-effector
FOXG_07635 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=538,-,-,Y (0.823),Non-effector
FOXG_11957 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=363,-,-,Y (0.964),Non-effector
FOXG_12219 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=513,-,-,Y (0.884),Non-effector
FOXG_04541 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=320,-,-,Y (0.609),Non-effector
FOXG_08636 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=449,-,-,Y (0.518),Non-effector
FOXG_04656 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=209,-,Y (0.92),-,Apoplastic effector
FOXG_16599 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=640,-,-,Y (0.899),Non-effector
FOXG_00241 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=710,Y (0.732),-,-,Cytoplasmic effector
FOXG_15699 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1026,-,-,Y (0.867),Non-effector
FOXG_17711 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,-,Y (0.694),Non-effector
FOXG_17014 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=253,-,Y (0.501),-,Apoplastic effector
FOXG_02556 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=497,-,-,Y (0.892),Non-effector
FOXG_17687 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=510,-,-,Y (0.507),Non-effector
FOXG_17691 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=78,-,-,Y (0.709),Non-effector
FOXG_04853 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=221,-,-,Y (0.558),Non-effector
FOXG_01059 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=933,-,-,Y (0.747),Non-effector
FOXG_22461 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1249,-,-,Y (0.988),Non-effector
FOXG_13105 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=388,-,-,Y (0.833),Non-effector
FOXG_13237 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=561,-,-,Y (0.894),Non-effector
FOXG_08348 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=261,-,Y (0.508),-,Apoplastic effector
FOXG_15390 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=430,-,-,Y (0.59),Non-effector
FOXG_13694 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=515,-,-,Y (0.84),Non-effector
FOXG_15433 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=230,-,-,Y (0.841),Non-effector
FOXG_00212 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=189,-,-,Y (0.643),Non-effector
FOXG_16949 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=422,-,-,Y (0.536),Non-effector
FOXG_14796 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=228,-,-,Y (0.574),Non-effector
FOXG_15067 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=914,-,-,Y (0.962),Non-effector
FOXG_07449 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=352,-,-,Y (0.768),Non-effector
FOXG_10582 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=845,-,-,Y (0.909),Non-effector
FOXG_07917 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=239,Y (0.842),-,-,Cytoplasmic effector
FOXG_04368 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=336,-,-,Y (0.856),Non-effector
FOXG_00238 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=396,-,-,Y (0.624),Non-effector
FOXG_11917 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=633,-,-,Y (0.934),Non-effector
FOXG_05861 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=409,-,Y (0.724),-,Apoplastic effector
FOXG_21586 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1360,-,-,Y (0.923),Non-effector
FOXG_19097 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=548,-,-,Y (0.787),Non-effector
FOXG_06827 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=461,-,-,Y (0.978),Non-effector
FOXG_09640 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=786,-,-,Y (0.869),Non-effector
FOXG_13032 | Fusarium oxysporum f. sp. lycopersici 4287 | choline dehydrogenase | protein | length=640,-,-,Y (0.891),Non-effector
FOXG_03963 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=403,-,-,Y (0.918),Non-effector
FOXG_00432 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1413,-,-,Y (0.921),Non-effector
FOXG_02835 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=510,-,-,Y (0.873),Non-effector
FOXG_03558 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=732,-,-,Y (0.829),Non-effector
FOXG_02417 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=491,-,-,Y (0.52),Non-effector
FOXG_21603 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=76,-,Y (0.793),-,Apoplastic effector
FOXG_08602 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=242,-,-,Y (0.644),Non-effector
FOXG_01367 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=106,-,-,Y (0.757),Non-effector
FOXG_03801 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=508,Y (0.642),-,-,Cytoplasmic effector
FOXG_00380 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=203,Y (0.754),-,-,Cytoplasmic effector
"FOXG_09338 | Fusarium oxysporum f. sp. lycopersici 4287 | chloride channel, other eukaryote | protein | length=864",-,-,Y (0.988),Non-effector
FOXG_13063 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=427,-,-,Y (0.801),Non-effector
FOXG_13229 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=420,-,-,Y (0.606),Non-effector
FOXG_08795 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=388,-,-,Y (0.597),Non-effector
FOXG_16516 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=377,-,Y (0.628),-,Apoplastic effector
FOXG_13204 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=218,Y (0.557),Y (0.794),-,Apoplastic/cytoplasmic effector
FOXG_00733 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=462,-,-,Y (0.818),Non-effector
FOXG_14741 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=555,-,-,Y (0.815),Non-effector
FOXG_02500 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=661,-,-,Y (0.813),Non-effector
FOXG_07345 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=469,-,-,Y (0.885),Non-effector
FOXG_01333 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=446,-,-,Y (0.793),Non-effector
FOXG_18823 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=162,-,-,Y (0.683),Non-effector
FOXG_12742 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=138,Y (0.732),-,-,Cytoplasmic effector
FOXG_17727 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=597,-,-,Y (0.852),Non-effector
FOXG_15072 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=253,-,-,Y (0.523),Non-effector
FOXG_01288 | Fusarium oxysporum f. sp. lycopersici 4287 | oligosaccharyl transferase complex subunit OST4 | protein | length=458,-,-,Y (0.824),Non-effector
FOXG_14385 | Fusarium oxysporum f. sp. lycopersici 4287 | inulinase | protein | length=522,-,-,Y (0.86),Non-effector
FOXG_09643 | Fusarium oxysporum f. sp. lycopersici 4287 | endoglucanase type B | protein | length=462,-,-,Y (0.657),Non-effector
FOXG_06556 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.927),Non-effector
FOXG_05153 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=904,-,-,Y (0.874),Non-effector
FOXG_04595 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=593,-,-,Y (0.862),Non-effector
FOXG_19706 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=172,-,-,Y (0.889),Non-effector
FOXG_04962 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1099,-,-,Y (0.96),Non-effector
FOXG_02597 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=255,-,Y (0.713),-,Apoplastic effector
FOXG_10976 | Fusarium oxysporum f. sp. lycopersici 4287 | D-amino-acid oxidase | protein | length=362,-,-,Y (0.779),Non-effector
FOXG_16869 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=263,Y (0.714),-,-,Cytoplasmic effector
FOXG_02817 | Fusarium oxysporum f. sp. lycopersici 4287 | protein kinase C substrate 80K-H | protein | length=566,Y (0.658),-,-,Cytoplasmic effector
FOXG_15258 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=528,-,-,Y (0.809),Non-effector
FOXG_08257 | Fusarium oxysporum f. sp. lycopersici 4287 | DNA topoisomerase II | protein | length=1737,-,-,Y (0.726),Non-effector
FOXG_15704 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=197,Y (0.555),Y (0.813),-,Apoplastic/cytoplasmic effector
FOXG_03220 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=517,-,-,Y (0.921),Non-effector
FOXG_12397 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=657,-,-,Y (0.799),Non-effector
FOXG_10097 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=407,-,Y (0.646),-,Apoplastic effector
FOXG_13201 | Fusarium oxysporum f. sp. lycopersici 4287 | oxalate decarboxylase | protein | length=465,-,-,Y (0.525),Non-effector
FOXG_14497 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=323,-,Y (0.577),-,Apoplastic effector
FOXG_13421 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=566,-,-,Y (0.946),Non-effector
FOXG_10855 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=532,-,-,Y (0.712),Non-effector
FOXG_11698 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=357,-,-,Y (0.572),Non-effector
FOXG_01890 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=433,Y (0.601),-,-,Cytoplasmic effector
FOXG_12026 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=166,Y (0.612),-,-,Cytoplasmic effector
FOXG_03601 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=934,-,-,Y (0.988),Non-effector
FOXG_05802 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=559,-,-,Y (0.897),Non-effector
FOXG_08769 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=364,-,Y (0.54),-,Apoplastic effector
FOXG_05670 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=801,-,-,Y (0.889),Non-effector
FOXG_04561 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=292,-,-,Y (0.592),Non-effector
FOXG_01145 | Fusarium oxysporum f. sp. lycopersici 4287 | subtilisin | protein | length=416,-,Y (0.606),-,Apoplastic effector
